iter	RMSE
0	288154.2591
1	277365.7389
2	267935.7651
3	260600.4368
4	253424.2257
5	247636.9293
6	242482.168
7	237919.3366
8	234189.0341
9	231019.0566
10	228289.7997
11	225452.8308
12	223119.7775
13	220838.8219
14	219414.482
15	217740.1287
16	216073.1181
17	214874.8999
18	213784.7545
19	212925.5401
20	212172.1618
21	211037.1172
22	210245.6104
23	209682.4125
24	208999.1009
25	208462.7475
26	207763.4593
27	207255.3339
28	206792.4614
29	206416.265
30	206008.8088
31	205792.0272
32	205333.2098
33	205057.6094
34	204601.7583
35	204326.2377
36	203881.7053
37	203611.7233
38	203578.6662
39	203079.2941
40	202896.1823
41	202781.9903
42	202437.2862
43	201957.6754
44	201712.7217
45	201541.6547
46	201083.1594
47	200750.3214
48	200419.0812
49	200217.9065
50	200026.1751
51	199681.1222
52	199100.8557
53	198919.5819
54	198871.545
55	198532.6705
56	198135.0534
57	197775.9998
58	197625.812
59	197182.2252
60	196866.5188
61	196298.081
62	196163.7043
63	195957.0013
64	195508.2499
65	195322.3664
66	195188.1409
67	195038.5572
68	194773.7205
69	194305.7046
70	194242.2372
71	194031.6119
72	193784.4594
73	193521.2462
74	193247.9114
75	193107.9533
76	192938.2591
77	192775.3488
78	192688.2011
79	192485.7252
80	192348.1768
81	192083.9615
82	191888.59
83	191566.8749
84	191289.6064
85	191154.7867
86	190945.5056
87	190785.2284
88	190622.5545
89	190381.4082
90	190245.5162
91	190123.015
92	189924.3041
93	189812.6747
94	189706.3778
95	189592.8528
96	189527.5522
97	189269.9427
98	189215.02
99	189083.4255
100	188998.2411
101	188627.735
102	188553.3219
103	188411.8631
104	188352.3232
105	188314.275
106	188291.2411
107	188185.1132
108	187941.4529
109	187933.6395
110	187830.3083
111	187765.3994
112	187708.5336
113	187664.5821
114	187564.7638
115	187346.4099
116	187129.721
117	187086.4572
118	186759.5046
119	186454.3271
120	186207.7248
121	185935.2925
122	185812.6658
123	185647.0667
124	185310.7112
125	185107.4679
126	185090.7845
127	185041.1214
128	184869.8941
129	184695.5205
130	184494.2858
131	184358.155
132	184222.4712
133	184048.3129
134	183825.8247
135	183559.8587
136	183435.1533
137	183328.2509
138	183050.7514
139	183024.3641
140	182999.8189
141	182986.0217
142	182877.4243
143	182772.8247
144	182579.3157
145	182465.4853
146	182240.6975
147	181941.1599
148	181865.4589
149	181649.8407
150	181544.1928
151	181434.9303
152	181385.0683
153	181163.6221
154	181002.7682
155	180883.3658
156	180744.2277
157	180616.0684
158	180471.7635
159	180389.1815
160	180269.4657
161	180053.3979
162	179907.6016
163	179690.8251
164	179538.0893
165	179373.9274
166	179180.2551
167	179118.0456
168	178857.2075
169	178695.6668
170	178525.4372
171	178339.0293
172	178306.8911
173	178175.6326
174	178048.9031
175	177907.4535
176	177741.082
177	177580.6763
178	177322.1968
179	177166.0923
180	176977.1623
181	176796.3399
182	176741.7075
183	176723.7761
184	176492.8536
185	176325.726
186	176126.214
187	175895.2046
188	175724.4625
189	175549.0925
190	175468.3517
191	175257.3771
192	175069.1895
193	174945.6027
194	174796.0506
195	174618.0399
196	174512.1126
197	174316.1507
198	174198.1012
199	174181.8185
200	173935.8441
201	173772.121
202	173753.887
203	173595.0439
204	173435.5087
205	173420.3217
206	173386.0317
207	173108.7588
208	172889.7726
209	172834.0331
210	172788.4968
211	172625.0937
212	172447.9556
213	172432.7948
214	172254.901
215	172060.8526
216	171921.4562
217	171824.4662
218	171788.3456
219	171722.8335
220	171500.636
221	171422.7076
222	171262.6901
223	171074.1081
224	170891.0218
225	170816.5706
226	170756.6981
227	170638.058
228	170451.7182
229	170325.3338
230	170249.4725
231	170123.4763
232	170061.275
233	169935.2696
234	169882.8017
235	169793.0198
236	169685.124
237	169659.952
238	169533.2367
239	169263.8987
240	169192.2956
