iter	Passed	Remaining
0	4	9546
1	7	7172
2	9	6337
3	11	5931
4	17	7032
5	21	7074
6	23	6723
7	26	6485
8	28	6285
9	30	6114
10	33	5986
11	35	5896
12	37	5796
13	40	5724
14	42	5648
15	45	5588
16	47	5594
17	50	5562
18	52	5512
19	54	5424
20	57	5386
21	59	5358
22	61	5326
23	64	5303
24	69	5452
25	75	5732
26	79	5793
27	81	5763
28	84	5731
29	86	5692
30	89	5662
31	91	5628
32	93	5600
33	96	5574
34	98	5552
35	102	5592
36	104	5560
37	108	5617
38	110	5537
39	112	5533
40	115	5507
41	117	5485
42	120	5477
43	123	5471
44	125	5469
45	128	5452
46	130	5433
47	133	5411
48	135	5388
49	137	5367
50	140	5356
51	144	5402
52	150	5527
53	153	5528
54	155	5504
55	158	5486
56	162	5542
57	164	5524
58	167	5505
59	169	5486
60	172	5476
61	175	5472
62	178	5487
63	182	5512
64	185	5525
65	190	5579
66	193	5573
67	195	5555
68	197	5538
69	200	5521
70	203	5522
71	205	5505
72	207	5489
73	211	5509
74	215	5540
75	218	5538
76	221	5542
77	224	5530
78	226	5511
79	228	5495
80	231	5479
81	233	5465
82	235	5450
83	238	5441
84	240	5427
85	246	5493
86	252	5561
87	258	5616
88	260	5597
89	263	5582
90	265	5563
91	267	5544
92	269	5531
93	271	5513
94	274	5496
95	276	5480
96	278	5464
97	280	5452
98	284	5456
99	287	5460
100	289	5448
101	292	5448
102	295	5434
103	297	5423
104	300	5415
105	303	5426
106	308	5456
107	313	5499
108	320	5554
109	326	5609
110	329	5602
111	331	5588
112	333	5574
113	336	5566
114	338	5551
115	341	5538
116	344	5543
117	350	5586
118	353	5592
119	360	5642
120	365	5681
121	370	5695
122	372	5686
123	376	5693
124	378	5679
125	382	5682
126	385	5680
127	389	5692
128	391	5680
129	396	5699
130	400	5720
131	403	5714
132	406	5700
133	408	5687
134	410	5676
135	413	5666
136	416	5658
137	418	5647
138	420	5636
139	423	5629
140	425	5614
141	427	5598
142	433	5624
143	435	5612
144	437	5602
145	440	5595
146	443	5591
147	447	5598
148	449	5585
149	452	5575
150	455	5571
151	457	5558
152	459	5548
153	464	5562
154	470	5600
155	473	5595
156	477	5608
157	481	5608
158	484	5604
159	486	5593
160	488	5582
161	495	5617
162	499	5627
163	501	5616
164	505	5622
165	507	5610
166	512	5626
167	514	5615
168	517	5605
169	521	5612
170	528	5650
171	530	5639
172	533	5629
173	538	5651
174	541	5643
175	544	5644
176	546	5633
177	551	5642
178	556	5665
179	559	5658
180	562	5648
181	565	5646
182	571	5672
183	575	5677
184	577	5666
185	579	5656
186	582	5645
187	584	5636
188	590	5656
189	592	5647
190	598	5670
191	603	5685
192	606	5675
193	609	5675
194	614	5690
195	617	5679
196	620	5676
197	623	5673
198	629	5693
199	632	5691
200	638	5710
201	644	5733
202	650	5760
203	655	5774
204	658	5769
205	663	5778
206	668	5788
207	673	5805
208	676	5799
209	679	5788
210	681	5780
211	688	5810
212	695	5832
213	700	5845
214	705	5857
215	710	5870
216	715	5875
217	717	5864
218	720	5857
219	722	5845
220	724	5834
221	728	5834
222	734	5855
223	737	5846
224	739	5836
225	743	5838
226	747	5836
227	751	5839
228	753	5828
229	756	5819
230	760	5827
231	765	5834
232	769	5835
233	772	5831
234	776	5835
235	780	5830
236	783	5826
237	785	5817
238	788	5807
239	790	5796
240	795	5805
241	801	5819
242	803	5810
243	805	5799
244	809	5798
245	813	5797
246	817	5803
247	819	5792
248	822	5781
249	826	5787
250	831	5797
251	834	5787
252	836	5775
253	839	5771
254	843	5769
255	847	5775
256	853	5785
257	855	5775
258	857	5765
259	860	5760
260	865	5768
261	868	5761
262	870	5751
263	873	5741
264	875	5733
265	878	5728
266	884	5741
267	888	5740
268	891	5733
269	893	5724
270	898	5734
271	901	5725
272	903	5718
273	906	5709
274	911	5720
275	918	5736
276	924	5749
277	930	5762
278	934	5766
279	937	5755
280	939	5745
281	941	5738
282	944	5729
283	947	5724
284	951	5725
285	956	5733
286	960	5730
287	965	5738
288	967	5730
289	970	5723
290	973	5715
291	975	5706
292	977	5697
293	980	5688
294	982	5678
295	984	5669
296	987	5659
297	989	5651
298	992	5647
299	997	5653
300	1003	5665
301	1006	5657
302	1011	5664
303	1016	5668
304	1018	5660
305	1020	5650
306	1023	5645
307	1026	5636
308	1028	5627
309	1033	5634
310	1038	5640
311	1044	5652
312	1051	5666
313	1056	5671
314	1058	5664
315	1064	5673
316	1069	5680
317	1073	5676
318	1078	5684
319	1083	5690
320	1088	5693
321	1094	5704
322	1100	5713
323	1104	5715
324	1107	5706
325	1109	5697
326	1112	5690
327	1118	5700
328	1122	5701
329	1124	5692
330	1131	5704
331	1135	5705
332	1138	5698
333	1145	5711
334	1149	5712
335	1153	5710
336	1157	5711
337	1159	5702
338	1161	5693
339	1165	5688
340	1170	5692
341	1172	5683
342	1174	5674
343	1177	5667
344	1183	5677
345	1187	5676
346	1189	5667
347	1192	5661
348	1197	5663
349	1203	5674
350	1210	5686
351	1216	5693
352	1218	5685
353	1220	5676
354	1226	5683
355	1230	5684
356	1233	5675
357	1235	5666
358	1238	5660
359	1240	5651
360	1242	5642
361	1245	5635
362	1249	5636
363	1252	5631
364	1255	5623
365	1257	5613
366	1260	5607
367	1262	5599
368	1267	5600
369	1269	5592
370	1273	5590
371	1275	5581
372	1277	5573
373	1280	5566
374	1282	5559
375	1285	5550
376	1287	5542
377	1291	5543
378	1294	5536
379	1297	5530
